"Title","Review"
"Fabulous!","You all have enough reviews online,  just to tell you guys that there can't be a better phone in this price , specially people who are looking for a trustworthy & good battery on a phone. And ofcourse the new white color looks better. Go ahead!"
"Good quality product","The product is really good. The camera works really well. I liked the lighting with the pop-up camera.Cons: The fingerprint sensor is not working well with tempered glass."
"Does the job","Pros.1.Rear Camera Setup is Gorgeous And It's Work Very well.Triple camera combination is next level.2.Display Is Very Goog,No Notch, Full Screen Display Experience.3. Performance Is The next Level4.I Love Miui No lag5.premium Glass Body 6.Speaker Clearity is Very Good7.18 Walt Fast Charger in The Box.Cons.1. Very Big Cons For Me Is The Selfie Camera. I am Very Disappoint with The selfie camera20 Megapixel Pop camera is not good, picture clearity is very bad and Selfie Pics Like..."
"Fabulous!","I am using this phone last 2 days & I'm sharing my experience about this phone.1) Camera quality is awesome.2) Display quality very nice.3) Front camera with led very attractive & pictures quality also good.4) Pubg gaming play very smooth without lagging with good graphics.5) Battery life good & full charge within 1:20 to 1:30 hour.6) Value for money."
"Wonderful","excellent phone ... maybe 1000 rs excess price .. but I'm loving using it .. display is super ..  but where is the surprise for alpha sell phone holders?? camera quality is just ahead of everything !!"
"Mind-blowing purchase","Received my RedmiK20 and, wanna thanks to Flipkart for super fast delivery! I love this phone. ! it's so beautiful ?"
"Terrific purchase","*EDIT* when I don't play PUBG, I get more than 9 hrs of screen on time, watch attached screenshot for proof!reviewing after 1.5 week of intense (heavy) usage, 6GB RAM 128GB ROM1) Display - what lacked for so long in Xiaomi devices was AMOLED panels, and this panel on K20 is on par, not close enough to Samsung sAMOLED+ but good enough in bright sunlight, battery efficient with dark mode! u get ambient display, dark mode, and whenever u pick up the phone fingerprint imprint is shown at the ..."
"Nice product","I got delivered my K20 on 22nd Feb'20. Since then I checked the phone all the way. My conclusion is it is a beautiful & powerful phone. Mentioning pros & cons one by one below after 20 days of use.Pros:1) Processor: Snapdragon 730 processor is super duper fast. It processes tasks in fraction of second. Though I am not a pubg gamer but I can understand that to run pubg, 730 Snapdragon is not even required.2) Display:Be informed it is NOT 'Super' Amoled. It has only amoled display with ..."
"Terrific","CAMERA I really loved K20's camera. Excellent picture quality After zooming image is sharp & clear. Wide angle camera works very good & no lagging with video. Front camera also works great In Pop-up camera their is LED notification in above. Night vision camera gives best results.PERFORMANCE Not any issues till now Works very properly without any lagging because 6GB RAM. Cooling technology also inbuilt. Latest Qualcomm Snapdragon 730 processorDISPLAY Stunning displ..."
"Worth every penny","Overall it is a very nice phone but I think could have been priced around 2000 less.Camera is really good.Display is very attractive.Colours are a bit different in real life.Battery seems to be good too.No lagging anywhere and one of the best phones till next year.Pop is a bit slow but led is very attractive and front camera is damn!!!Don't get confused just go for it"
"Fabulous!","You all have enough reviews online,  just to tell you guys that there can't be a better phone in this price , specially people who are looking for a trustworthy & good battery on a phone. And ofcourse the new white color looks better. Go ahead!"
"Good quality product","The product is really good. The camera works really well. I liked the lighting with the pop-up camera.Cons: The fingerprint sensor is not working well with tempered glass."
"Does the job","Pros.1.Rear Camera Setup is Gorgeous And It's Work Very well.Triple camera combination is next level.2.Display Is Very Goog,No Notch, Full Screen Display Experience.3. Performance Is The next Level4.I Love Miui No lag5.premium Glass Body 6.Speaker Clearity is Very Good7.18 Walt Fast Charger in The Box.Cons.1. Very Big Cons For Me Is The Selfie Camera. I am Very Disappoint with The selfie camera20 Megapixel Pop camera is not good, picture clearity is very bad and Selfie Pics Like..."
"Fabulous!","I am using this phone last 2 days & I'm sharing my experience about this phone.1) Camera quality is awesome.2) Display quality very nice.3) Front camera with led very attractive & pictures quality also good.4) Pubg gaming play very smooth without lagging with good graphics.5) Battery life good & full charge within 1:20 to 1:30 hour.6) Value for money."
"Wonderful","excellent phone ... maybe 1000 rs excess price .. but I'm loving using it .. display is super ..  but where is the surprise for alpha sell phone holders?? camera quality is just ahead of everything !!"
"Mind-blowing purchase","Received my RedmiK20 and, wanna thanks to Flipkart for super fast delivery! I love this phone. ! it's so beautiful ?"
"Terrific purchase","*EDIT* when I don't play PUBG, I get more than 9 hrs of screen on time, watch attached screenshot for proof!reviewing after 1.5 week of intense (heavy) usage, 6GB RAM 128GB ROM1) Display - what lacked for so long in Xiaomi devices was AMOLED panels, and this panel on K20 is on par, not close enough to Samsung sAMOLED+ but good enough in bright sunlight, battery efficient with dark mode! u get ambient display, dark mode, and whenever u pick up the phone fingerprint imprint is shown at the ..."
"Worth every penny","Overall it is a very nice phone but I think could have been priced around 2000 less.Camera is really good.Display is very attractive.Colours are a bit different in real life.Battery seems to be good too.No lagging anywhere and one of the best phones till next year.Pop is a bit slow but led is very attractive and front camera is damn!!!Don't get confused just go for it"
"Nice product","I got delivered my K20 on 22nd Feb'20. Since then I checked the phone all the way. My conclusion is it is a beautiful & powerful phone. Mentioning pros & cons one by one below after 20 days of use.Pros:1) Processor: Snapdragon 730 processor is super duper fast. It processes tasks in fraction of second. Though I am not a pubg gamer but I can understand that to run pubg, 730 Snapdragon is not even required.2) Display:Be informed it is NOT 'Super' Amoled. It has only amoled display with ..."
